leerling,create,modify,undo,newmodel,redo,delete
leerling23,51,27,0,0,0,17
leerling24,50,40,0,0,0,6
leerling26,50,27,0,0,0,19
leerling27,52,36,0,0,0,19
leerling28,110,80,3,0,0,25
leerling30,36,28,0,0,0,7
leerling32,130,47,25,2,0,36
leerling33,29,22,0,0,0,8
leerling34,61,41,0,0,0,15
