date,create,modify,undo,newmodel,redo,delete
2016-11-24 09:11:49,12,8,0,0,0,2
2016-11-24 09:16:49,4,2,0,0,0,2
2016-11-24 09:21:49,6,6,0,0,0,1
2016-11-24 09:26:49,13,14,0,0,0,3
2016-11-24 09:31:49,30,36,0,0,0,0
2016-11-24 09:36:49,7,3,0,0,0,3
2016-11-24 09:41:49,4,2,0,0,0,3
2016-11-24 09:46:49,0,0,0,0,0,0
2016-11-24 09:51:49,1,2,0,0,0,0
2016-11-24 09:56:49,2,1,0,0,0,0
2016-11-24 10:01:49,15,1,0,0,0,4
2016-11-24 10:06:49,13,0,3,0,0,3
2016-11-24 10:11:49,1,2,0,0,0,2
2016-11-24 10:16:49,0,0,0,0,0,0
2016-11-24 10:21:49,2,0,0,0,0,2
