date,create,modify,undo,newmodel,redo,delete
2016-11-24 09:09:45,10,7,0,1,0,0
2016-11-24 09:14:45,3,2,0,0,0,1
2016-11-24 09:19:45,10,6,0,0,0,7
2016-11-24 09:24:45,17,8,6,0,0,0
2016-11-24 09:29:45,12,3,10,0,0,5
2016-11-24 09:34:45,10,1,0,0,0,5
2016-11-24 09:39:45,11,2,2,0,0,4
2016-11-24 09:44:45,3,1,0,0,0,0
2016-11-24 09:49:45,15,8,0,1,0,2
2016-11-24 09:54:45,6,3,0,0,0,0
2016-11-24 09:59:45,15,3,0,0,0,4
2016-11-24 10:04:45,1,0,0,0,0,1
2016-11-24 10:09:45,2,1,0,0,0,0
2016-11-24 10:14:45,9,2,6,0,0,0
2016-11-24 10:19:45,2,0,1,0,0,4
2016-11-24 10:24:45,0,0,0,0,0,0
2016-11-24 10:29:45,0,0,0,0,0,0
