leerling,create,modify,undo,newmodel,redo,delete
leerling23,49,26,0,0,0,16
leerling24,51,40,0,0,0,6
leerling26,45,27,0,0,0,17
leerling27,50,34,0,0,0,16
leerling28,110,77,3,0,0,25
leerling30,33,26,0,0,0,7
leerling32,126,47,25,2,0,33
leerling33,29,22,0,0,0,9
leerling34,62,41,0,0,0,15
