leerling,create,modify,undo,newmodel,redo,delete
leerling01,53,27,0,1,0,14
leerling03,24,18,6,0,4,6
leerling04,57,42,11,1,0,10
leerling05,28,23,0,0,0,7
leerling06,37,31,0,0,0,8
leerling07,28,22,2,0,1,4
leerling08,30,23,3,1,1,7
leerling09,47,34,0,1,0,10
leerling11,51,25,0,0,0,8
leerling12,72,53,9,0,8,9
leerling14,28,23,0,0,0,6
leerling15,24,18,27,0,0,2
leerling16,9,7,0,0,0,0
leerling17,26,16,0,0,0,6
leerling18,20,7,0,0,0,9
leerling19,48,27,0,0,0,4
leerling21,25,14,4,1,3,4
