leerling,create,modify,undo,newmodel,redo,delete
leerling23,36,18,0,0,0,17
leerling24,53,25,2,0,2,20
leerling25,22,27,0,0,0,8
leerling26,42,31,2,0,0,20
leerling27,29,25,0,0,0,11
leerling28,41,29,0,0,0,13
leerling29,16,16,0,0,0,6
leerling30,28,23,3,0,3,12
leerling31,36,34,0,0,0,13
leerling32,105,31,26,0,7,70
leerling33,32,24,1,1,0,9
leerling34,41,28,0,1,0,12
leerling36,51,32,0,0,0,16
leerling37,39,22,0,0,0,11
