date,create,modify,undo,newmodel,redo,delete
2016-11-22 13:55:25,3,4,0,0,0,0
2016-11-22 14:00:25,2,3,0,0,0,0
2016-11-22 14:05:25,0,0,0,0,0,0
2016-11-22 14:10:25,0,0,0,0,0,1
2016-11-22 14:15:25,5,0,0,0,0,3
2016-11-22 14:20:25,4,4,0,0,0,0
2016-11-22 14:25:25,4,1,0,0,0,1
2016-11-22 14:30:25,6,0,0,0,0,5
2016-11-22 14:35:25,0,0,0,0,0,0
2016-11-22 14:40:25,4,3,0,0,0,0
2016-11-22 14:45:25,2,3,0,0,0,0
2016-11-22 14:50:25,2,1,0,0,0,0
2016-11-22 14:55:25,2,0,0,0,0,1
2016-11-22 15:00:25,0,0,0,0,0,0
2016-11-22 15:05:25,0,0,0,0,0,0
2016-11-22 15:10:25,0,0,0,0,0,0
2016-11-22 15:15:25,0,0,0,0,0,0
