leerling,create,modify,undo,newmodel,redo,delete
leerling23,33,17,0,0,0,15
leerling24,45,20,1,0,2,20
leerling25,20,24,0,0,0,7
leerling26,35,25,2,0,0,19
leerling27,27,23,0,0,0,9
leerling28,33,25,0,0,0,11
leerling29,13,13,0,0,0,5
leerling30,26,19,1,0,3,12
leerling31,33,29,0,0,0,13
leerling32,99,30,26,0,7,63
leerling33,31,23,1,1,0,4
leerling34,45,29,0,1,0,12
leerling36,45,29,0,0,0,14
leerling37,34,19,0,0,0,11
