date,create,modify,undo,newmodel,redo,delete
2016-11-22 13:55:21,6,2,0,0,0,2
2016-11-22 14:00:21,5,5,2,0,0,3
2016-11-22 14:05:21,0,0,0,0,0,0
2016-11-22 14:10:21,2,3,0,0,0,5
2016-11-22 14:15:21,3,0,0,0,0,2
2016-11-22 14:20:21,7,0,0,0,0,6
2016-11-22 14:25:21,8,0,10,0,1,8
2016-11-22 14:30:21,9,7,8,0,1,1
2016-11-22 14:35:21,15,3,0,0,0,9
2016-11-22 14:40:21,9,4,0,0,0,5
2016-11-22 14:45:21,2,0,0,0,0,3
2016-11-22 14:50:21,11,0,5,0,5,11
2016-11-22 14:55:21,0,0,0,0,0,0
2016-11-22 15:00:21,0,0,0,0,0,0
2016-11-22 15:05:21,4,0,0,0,0,2
2016-11-22 15:10:21,3,0,0,0,0,2
2016-11-22 15:15:21,2,1,0,0,0,0
2016-11-22 15:20:21,2,3,0,0,0,0
2016-11-22 15:25:21,7,2,0,0,0,2
2016-11-22 15:30:21,2,0,0,0,0,0
2016-11-22 15:35:21,2,0,1,0,0,2
