date,create,modify,undo,newmodel,redo,delete
2016-11-22 13:54:31,3,3,0,0,0,0
2016-11-22 13:59:31,4,6,0,0,0,0
2016-11-22 14:04:31,0,0,0,0,0,0
2016-11-22 14:09:31,0,3,0,0,0,2
2016-11-22 14:14:31,2,0,0,0,0,0
2016-11-22 14:19:31,0,0,0,0,0,0
2016-11-22 14:24:31,2,0,0,0,0,0
2016-11-22 14:29:31,3,5,0,0,0,0
2016-11-22 14:34:31,6,0,0,0,0,3
2016-11-22 14:39:31,7,0,0,0,0,7
2016-11-22 14:44:31,3,0,0,0,0,3
2016-11-22 14:49:31,3,1,0,0,0,0
2016-11-22 14:54:31,0,0,0,0,0,0
2016-11-22 14:59:31,0,0,0,0,0,0
2016-11-22 15:04:31,0,0,0,0,0,0
2016-11-22 15:09:31,0,0,0,0,0,0
2016-11-22 15:14:31,0,0,0,0,0,0
2016-11-22 15:19:31,5,2,0,0,0,2
2016-11-22 15:24:31,6,0,0,0,0,1
2016-11-22 15:29:31,1,0,1,0,0,2
2016-11-22 15:34:31,0,0,0,0,2,0
