date,create,modify,undo,newmodel,redo,delete
2016-11-22 14:02:40,4,5,0,0,0,1
2016-11-22 14:07:40,4,3,0,0,0,0
2016-11-22 14:12:40,1,4,0,0,0,0
2016-11-22 14:17:40,1,5,0,0,0,3
2016-11-22 14:22:40,0,0,0,0,0,0
2016-11-22 14:27:40,2,3,0,0,0,0
2016-11-22 14:32:40,2,3,0,0,0,0
2016-11-22 14:37:40,4,0,0,0,0,0
2016-11-22 14:42:40,0,0,0,0,0,1
2016-11-22 14:47:40,9,0,0,0,0,4
2016-11-22 14:52:40,0,0,0,0,0,0
2016-11-22 14:57:40,0,0,0,0,0,0
2016-11-22 15:02:40,0,0,0,0,0,0
2016-11-22 15:07:40,0,0,0,0,0,0
2016-11-22 15:12:40,0,0,0,0,0,0
2016-11-22 15:17:40,0,0,0,0,0,0
