date,create,modify,undo,newmodel,redo,delete
2016-11-22 13:55:41,4,4,0,0,0,1
2016-11-22 14:00:41,4,6,0,0,0,0
2016-11-22 14:05:41,0,2,0,0,0,0
2016-11-22 14:10:41,0,2,0,0,0,3
2016-11-22 14:15:41,1,0,0,0,0,0
2016-11-22 14:20:41,0,0,0,0,0,0
2016-11-22 14:25:41,5,5,0,0,0,0
2016-11-22 14:30:41,2,0,0,0,0,0
2016-11-22 14:35:41,5,0,0,0,0,4
2016-11-22 14:40:41,1,0,0,0,0,2
2016-11-22 14:45:41,0,0,0,0,0,0
2016-11-22 14:50:41,1,2,0,0,0,0
2016-11-22 14:55:41,0,0,0,0,0,0
2016-11-22 15:00:41,0,0,0,0,0,0
2016-11-22 15:05:41,0,0,0,0,0,0
2016-11-22 15:10:41,0,0,0,0,0,0
2016-11-22 15:15:41,0,0,0,0,0,0
2016-11-22 15:20:41,3,1,0,0,0,0
2016-11-22 15:25:41,1,2,0,0,0,0
2016-11-22 15:30:41,6,1,0,0,0,1
2016-11-22 15:35:41,0,0,0,0,0,0
