date,create,modify,undo,newmodel,redo,delete
2016-11-22 13:56:06,3,4,0,0,0,0
2016-11-22 14:01:06,7,7,0,0,0,3
2016-11-22 14:06:06,3,6,0,0,0,3
2016-11-22 14:11:06,0,1,0,0,0,3
2016-11-22 14:16:06,3,1,0,0,0,1
2016-11-22 14:21:06,1,0,0,0,0,0
2016-11-22 14:26:06,1,0,0,0,0,0
2016-11-22 14:31:06,8,4,2,0,0,2
2016-11-22 14:36:06,9,2,0,0,0,7
2016-11-22 14:41:06,0,0,0,0,0,0
2016-11-22 14:46:06,0,0,0,0,0,0
2016-11-22 14:51:06,0,0,0,0,0,0
2016-11-22 14:56:06,0,0,0,0,0,0
2016-11-22 15:01:06,0,0,0,0,0,0
2016-11-22 15:06:06,0,0,0,0,0,0
2016-11-22 15:11:06,0,0,0,0,0,0
2016-11-22 15:16:06,0,0,0,0,0,0
2016-11-22 15:21:06,0,0,0,0,0,0
2016-11-22 15:26:06,0,0,0,0,0,0
2016-11-22 15:31:06,0,0,0,0,0,0
2016-11-22 15:36:06,0,0,0,0,0,0
