date,create,modify,undo,newmodel,redo,delete
2016-11-22 13:54:49,11,8,0,0,0,2
2016-11-22 13:59:49,3,3,0,0,0,3
2016-11-22 14:04:49,2,3,0,0,0,0
2016-11-22 14:09:49,0,5,0,0,0,3
2016-11-22 14:14:49,2,0,0,0,0,1
2016-11-22 14:19:49,2,1,0,0,0,2
2016-11-22 14:24:49,5,6,0,0,0,0
2016-11-22 14:29:49,4,0,0,0,0,1
2016-11-22 14:34:49,1,1,0,0,0,0
2016-11-22 14:39:49,3,2,0,0,0,0
2016-11-22 14:44:49,0,0,0,0,0,0
2016-11-22 14:49:49,0,0,0,0,0,1
2016-11-22 14:54:49,0,0,0,0,0,0
2016-11-22 14:59:49,0,0,0,0,0,0
2016-11-22 15:04:49,0,0,0,0,0,0
2016-11-22 15:09:49,0,0,0,0,0,0
2016-11-22 15:14:49,0,0,0,0,0,0
2016-11-22 15:19:49,0,0,0,0,0,0
2016-11-22 15:24:49,0,0,0,0,0,0
2016-11-22 15:29:49,0,0,0,0,0,0
2016-11-22 15:34:49,0,0,0,0,0,0
