date,create,modify,undo,newmodel,redo,delete
2016-11-22 14:00:14,8,8,0,1,0,0
2016-11-22 14:05:14,0,0,0,0,0,0
2016-11-22 14:10:14,1,2,0,0,0,1
2016-11-22 14:15:14,1,0,0,0,0,1
2016-11-22 14:20:14,1,0,0,0,0,0
2016-11-22 14:25:14,8,10,0,0,0,0
2016-11-22 14:30:14,6,0,1,0,0,0
2016-11-22 14:35:14,0,0,0,0,0,2
2016-11-22 14:40:14,2,0,0,0,0,0
2016-11-22 14:45:14,0,0,0,0,0,0
2016-11-22 14:50:14,4,3,0,0,0,0
2016-11-22 14:55:14,0,0,0,0,0,0
2016-11-22 15:00:14,0,0,0,0,0,0
2016-11-22 15:05:14,0,0,0,0,0,0
2016-11-22 15:10:14,0,0,0,0,0,0
2016-11-22 15:15:14,0,0,0,0,0,0
2016-11-22 15:20:14,0,0,0,0,0,0
2016-11-22 15:25:14,0,0,0,0,0,0
2016-11-22 15:30:14,0,0,0,0,0,0
2016-11-22 15:35:14,0,0,0,0,0,0
