date,create,modify,undo,newmodel,redo,delete
2016-11-22 14:08:29,9,9,0,0,0,4
2016-11-22 14:13:29,5,0,0,0,0,3
2016-11-22 14:18:29,0,0,0,0,0,0
2016-11-22 14:23:29,10,9,0,0,0,0
2016-11-22 14:28:29,3,0,0,0,0,0
2016-11-22 14:33:29,0,0,0,0,0,0
2016-11-22 14:38:29,6,0,0,0,0,6
2016-11-22 14:43:29,1,1,0,0,0,1
2016-11-22 14:48:29,5,6,0,0,0,0
2016-11-22 14:53:29,0,0,0,0,0,0
2016-11-22 14:58:29,0,0,0,0,0,0
2016-11-22 15:03:29,0,0,0,0,0,0
2016-11-22 15:08:29,0,0,0,0,0,0
2016-11-22 15:13:29,0,0,0,0,0,0
2016-11-22 15:18:29,4,0,0,0,0,0
2016-11-22 15:23:29,1,2,0,0,0,0
2016-11-22 15:28:29,1,2,0,0,0,0
2016-11-22 15:33:29,0,0,0,0,0,0
