date,create,modify,undo,newmodel,redo,delete
2016-11-22 13:57:29,4,3,0,1,0,0
2016-11-22 14:02:29,3,4,0,0,0,1
2016-11-22 14:07:29,0,0,0,0,0,0
2016-11-22 14:12:29,3,2,0,0,0,1
2016-11-22 14:17:29,6,1,0,0,0,1
2016-11-22 14:22:29,6,9,0,0,0,0
2016-11-22 14:27:29,6,0,0,0,0,3
2016-11-22 14:32:29,0,0,0,0,0,1
2016-11-22 14:37:29,0,0,0,0,0,2
2016-11-22 14:42:29,4,2,0,0,0,2
2016-11-22 14:47:29,0,0,0,0,0,0
2016-11-22 14:52:29,5,4,0,0,0,0
2016-11-22 14:57:29,0,0,0,0,0,0
2016-11-22 15:02:29,0,0,0,0,0,0
2016-11-22 15:07:29,0,0,0,0,0,0
2016-11-22 15:12:29,0,0,0,0,0,0
2016-11-22 15:17:29,0,0,0,0,0,0
2016-11-22 15:22:29,0,0,0,0,0,0
2016-11-22 15:27:29,0,0,0,0,0,0
2016-11-22 15:32:29,8,4,0,0,0,1
