date,create,modify,undo,newmodel,redo,delete
2016-10-25 11:58:45,1,0,0,0,0,1
2016-10-25 12:03:45,2,2,0,0,0,1
2016-10-25 12:08:45,0,1,0,0,0,0
2016-10-25 12:13:45,0,0,0,0,0,0
2016-10-25 12:18:45,0,0,0,0,0,0
2016-10-25 12:23:45,4,5,0,0,0,3
2016-10-25 12:28:45,0,0,0,0,0,0
2016-10-25 12:33:45,0,0,0,0,0,0
2016-10-25 12:38:45,0,0,0,0,0,0
2016-10-25 12:43:45,2,0,0,0,0,1
2016-10-25 12:48:45,6,3,0,0,0,0
2016-10-25 12:53:45,9,8,0,0,0,4
2016-10-25 12:58:45,6,0,0,0,0,4
2016-10-25 13:03:45,0,0,0,0,0,0
2016-10-25 13:08:45,4,3,0,0,0,1
2016-10-25 13:13:45,5,2,0,0,0,1
2016-10-25 13:18:45,7,0,0,0,0,7
2016-10-25 13:23:45,2,2,0,0,0,0
