date,create,modify,undo,newmodel,redo,delete
2016-10-25 11:55:59,6,0,0,0,0,1
2016-10-25 12:00:59,2,4,0,0,0,0
2016-10-25 12:05:59,5,4,5,0,1,0
2016-10-25 12:10:59,0,0,0,0,0,0
2016-10-25 12:15:59,7,8,0,0,0,3
2016-10-25 12:20:59,0,1,0,0,0,0
2016-10-25 12:25:59,5,1,0,0,0,7
2016-10-25 12:30:59,0,0,0,0,0,0
2016-10-25 12:35:59,0,0,0,0,0,0
2016-10-25 12:40:59,0,0,0,0,0,0
2016-10-25 12:45:59,1,0,0,0,0,2
2016-10-25 12:50:59,8,9,0,0,0,0
2016-10-25 12:55:59,4,0,0,0,0,3
2016-10-25 13:00:59,0,0,0,0,0,1
2016-10-25 13:05:59,1,1,0,0,0,0
2016-10-25 13:10:59,10,4,0,0,0,0
2016-10-25 13:15:59,6,0,0,0,0,4
