date,create,modify,undo,newmodel,redo,delete
2016-10-25 12:02:30,7,5,0,0,0,2
2016-10-25 12:07:30,4,4,0,0,0,0
2016-10-25 12:12:30,1,2,0,0,0,3
2016-10-25 12:17:30,0,2,0,0,0,0
2016-10-25 12:22:30,0,0,0,0,0,0
2016-10-25 12:27:30,2,0,0,0,0,1
2016-10-25 12:32:30,0,0,0,0,0,0
2016-10-25 12:37:30,0,0,0,0,0,0
2016-10-25 12:42:30,0,0,0,0,0,0
2016-10-25 12:47:30,3,0,0,0,0,1
2016-10-25 12:52:30,6,6,0,0,0,0
2016-10-25 12:57:30,3,9,0,0,0,1
2016-10-25 13:02:30,4,1,0,0,0,1
2016-10-25 13:07:30,0,1,0,0,0,0
2016-10-25 13:12:30,3,2,0,0,0,0
