leerling,create,modify,undo,newmodel,redo,delete
leerling01,48,26,0,0,0,23
leerling02,21,18,0,0,0,6
leerling03,20,14,4,0,0,6
leerling04,32,16,0,0,0,13
leerling07,41,32,0,0,0,14
leerling08,31,23,0,0,0,7
leerling09,54,25,28,0,7,16
leerling11,38,22,4,0,0,16
leerling12,6,12,0,1,0,4
leerling13,44,20,5,0,4,12
leerling14,30,22,0,0,0,7
leerling15,18,13,0,0,0,4
leerling16,11,11,1,0,0,3
leerling17,55,32,5,0,1,21
leerling18,30,17,14,0,0,9
leerling19,15,19,0,0,0,1
leerling20,34,27,18,0,1,16
leerling21,33,32,0,0,0,9
