date,create,modify,undo,newmodel,redo,delete
2016-10-25 11:55:32,5,2,7,0,0,0
2016-10-25 12:00:32,2,5,0,0,0,0
2016-10-25 12:05:32,1,1,9,0,7,1
2016-10-25 12:10:32,0,0,0,0,0,0
2016-10-25 12:15:32,10,1,7,0,0,0
2016-10-25 12:20:32,0,3,0,0,0,3
2016-10-25 12:25:32,1,1,0,0,0,0
2016-10-25 12:30:32,0,0,0,0,0,0
2016-10-25 12:35:32,0,0,0,0,0,0
2016-10-25 12:40:32,0,1,0,0,0,0
2016-10-25 12:45:32,4,0,5,0,0,0
2016-10-25 12:50:32,9,6,0,0,0,0
2016-10-25 12:55:32,2,0,0,0,0,2
2016-10-25 13:00:32,1,0,0,0,0,1
2016-10-25 13:05:32,0,0,0,0,0,0
2016-10-25 13:10:32,7,5,0,0,0,1
2016-10-25 13:15:32,4,0,0,0,0,2
2016-10-25 13:20:32,8,0,0,0,0,6
