date,create,modify,undo,newmodel,redo,delete
2016-10-25 11:58:22,5,3,0,0,0,0
2016-10-25 12:03:22,5,4,0,0,0,3
2016-10-25 12:08:22,2,1,0,0,0,3
2016-10-25 12:13:22,0,0,0,0,0,0
2016-10-25 12:18:22,2,0,2,0,2,1
2016-10-25 12:23:22,0,0,0,0,0,0
2016-10-25 12:28:22,0,0,0,0,0,0
2016-10-25 12:33:22,0,0,0,0,0,0
2016-10-25 12:38:22,0,0,0,0,0,0
2016-10-25 12:43:22,5,5,1,0,0,0
2016-10-25 12:48:22,9,1,2,0,2,2
2016-10-25 12:53:22,5,0,0,0,0,2
2016-10-25 12:58:22,0,0,0,0,0,0
2016-10-25 13:03:22,0,0,0,0,0,0
2016-10-25 13:08:22,0,0,0,0,0,0
2016-10-25 13:13:22,11,6,0,0,0,1
