leerling,create,modify,undo,newmodel,redo,delete
leerling01,56,30,0,1,0,15
leerling03,23,15,6,0,4,6
leerling04,62,42,11,1,0,11
leerling05,29,22,0,0,0,6
leerling06,39,34,0,0,0,8
leerling07,27,24,2,0,1,3
leerling08,32,26,3,1,1,8
leerling09,44,34,0,1,0,10
leerling11,43,26,0,0,0,7
leerling12,76,56,9,0,8,10
leerling14,29,24,0,0,0,8
leerling15,25,18,27,0,0,3
leerling16,9,6,0,0,0,0
leerling17,30,18,0,0,0,6
leerling18,18,6,0,0,0,9
leerling19,50,29,0,0,0,6
leerling21,28,15,4,1,3,6
