leerling,create,modify,undo,newmodel,redo,delete
leerling23,53,27,0,0,0,17
leerling24,41,40,0,0,0,2
leerling26,46,25,0,0,0,16
leerling27,51,34,0,0,0,15
leerling28,116,79,3,0,0,27
leerling30,37,27,0,0,0,9
leerling32,131,49,25,2,0,36
leerling33,33,24,0,0,0,9
leerling34,61,43,0,0,0,15
