leerling,create,modify,undo,newmodel,redo,delete
leerling01,56,29,0,0,0,24
leerling02,10,14,0,0,0,5
leerling03,19,13,3,0,0,7
leerling04,23,14,0,0,0,11
leerling07,35,33,0,0,0,11
leerling08,30,23,0,0,0,5
leerling09,60,27,28,0,7,20
leerling11,30,21,5,0,0,12
leerling12,8,14,0,1,0,4
leerling13,39,16,5,0,4,13
leerling14,17,17,0,0,0,2
leerling15,20,13,0,0,0,4
leerling16,12,9,1,0,0,3
leerling17,48,29,5,0,1,17
leerling18,35,19,15,0,0,9
leerling19,17,21,0,0,0,1
leerling20,38,27,18,0,1,15
leerling21,40,34,0,0,0,10
