student,grade,grade_normalized
leerling24,3,7.50
leerling25,1.5,6.00
leerling26,3,7.50
leerling28,5.5,10.00
leerling29,-4.5,0.00
leerling30,3,6.43
leerling31,-1.5,3.00
leerling32,5.5,10.00
leerling33,0,4.50
leerling34,0.5,0.00
leerling36,5,9.50
leerling37,3,7.50
