student,grade,grade_normalized
leerling01,1.25,5.94
leerling03,2,6.88
leerling04,3.25,8.44
leerling05,1.5,6.25
leerling06,3,8.13
leerling07,2,6.88
leerling08,-3.5,0.00
leerling09,3,8.13
leerling11,-2,1.88
leerling12,3,8.13
leerling14,-1,3.13
leerling15,0.5,5.00
leerling16,-0.5,3.75
leerling17,4.5,10.00
leerling18,0.5,5.00
leerling19,-3,0.63
leerling21,2,6.88
