student,grade,grade_normalized
leerling23,4.5,4.44
leerling24,9.5,10.00
leerling26,3.75,3.61
leerling27,2.5,2.22
leerling28,0.5,0.00
leerling30,2.5,2.22
leerling32,5.75,5.83
leerling33,0.5,0.00
leerling34,3.75,3.61
leerling37,9.5,10.00
