leerling,create,modify,undo,newmodel,redo,delete
leerling23,35,17,0,0,0,18
leerling24,50,23,1,0,0,22
leerling25,21,26,0,0,0,8
leerling26,36,27,2,0,0,20
leerling27,28,25,0,0,0,11
leerling28,39,29,0,0,0,11
leerling29,16,15,0,0,0,5
leerling30,28,21,2,0,3,13
leerling31,36,32,0,0,0,13
leerling32,101,31,25,0,7,66
leerling33,33,26,1,1,0,6
leerling34,49,33,0,1,0,14
leerling36,49,31,0,0,0,16
leerling37,37,22,0,0,0,11
