leerling,create,modify,undo,newmodel,redo,delete
leerling01,55,28,0,1,0,16
leerling03,27,19,6,0,4,6
leerling04,53,39,11,1,0,8
leerling05,31,24,0,0,0,8
leerling06,37,35,0,0,0,8
leerling07,31,23,2,0,1,4
leerling08,26,21,3,1,1,7
leerling09,43,33,0,1,0,11
leerling11,53,27,0,0,0,9
leerling12,75,55,10,0,8,9
leerling14,31,23,0,0,0,7
leerling15,10,8,19,0,0,1
leerling16,10,8,0,0,0,0
leerling17,21,16,0,0,0,5
leerling18,21,8,0,0,0,9
leerling19,50,29,0,0,0,5
leerling21,21,14,1,1,0,6
